Apparent Power VA

entity_id,state,last_changed
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:09:43.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:09:49.679Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:09:57.480Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:10:05.478Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:10:11.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:10:19.512Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:10:25.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:10:39.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:10:45.677Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:10:55.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:11:03.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:11:09.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:11:15.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:11:25.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:11:33.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:11:41.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:11:47.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:11:57.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:12:03.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:12:13.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:12:19.473Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:12:27.479Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:12:37.676Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:12:49.681Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:12:55.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:13:07.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:13:13.675Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:13:29.674Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:13:37.476Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.70,2026-09-04T22:13:43.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:13:49.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:14:07.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:14:13.481Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:14:21.674Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:14:29.474Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.68,2026-09-04T22:14:35.684Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:14:41.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.68,2026-09-04T22:14:47.477Z
sensor.keuken_stekker_vaatwasser_apparent_power,0.00,2026-09-04T22:14:53.475Z
sensor.keuken_stekker_vaatwasser_apparent_power,2.69,2026-09-04T22:15:01.480Z
